"Continentes_Afetados","Nome_Evento","total_mortes"
6,Black Death,75000000
2,Smallpox in Americas,56000000
6,Spanish Flu,50000000
7,HIV/AIDS,40000000
4,Plague of Justinian,25000000
2,Second Pandemic Plague,12000000
7,COVID-19,7000000
3,Antonine Plague,5000000
3,Typhus Epidemic WWI,3000000
7,Smallpox Eradication,2000000
6,Sixth Cholera Pandemic,1800000
6,Fifth Cholera Pandemic,1400000
6,Fourth Cholera Pandemic,1200000
6,Asian Flu,1100000
6,Russian Flu,1000000
6,Third Cholera Pandemic,1000000
6,Hong Kong Flu,1000000
5,Second Cholera Pandemic,900000
3,Encephalitis Lethargica,500000
3,First Cholera Pandemic,500000
6,"2009 Swine Flu",284000
6,Seventh Cholera Pandemic,95000
1,Great Plague of London,68596
1,Great Plague of Marseille,50000
1,Sweating Sickness,50000
5,Dengue Fever,25000
1,West Africa Ebola,11310
7,Polio (Pre-Eradication),10000
1,Cholera Haiti,9500
1,Measles DRC,6000
1,Meningitis Belt Africa,5352
1,Yellow Fever Epidemic,5000
1,Lassa Fever,5000
3,Zika Virus,2000
4,West Nile Virus,2000
2,MERS,935
5,SARS,774
3,H5N1 Bird Flu,457
1,Yellow Fever Angola,355
2,Hantavirus,311
1,Plague Madagascar,202
1,Typhoid Fever Pakistan,100
6,Monkeypox 2022,100
1,Q Fever Netherlands,74
1,Rocky Mountain Spotted Fever,60
1,Legionnaires Disease,34
1,Nipah Virus Kerala,21
1,Pertussis USA,20
1,Marburg Germany,7
1,Anthrax Siberia,1
